,artist_id,name,artist_url
390,5700-retribution-gospel-choir,Retribution Gospel Choir,/artists/5700-retribution-gospel-choir/
391,4163-taa-pet,Taa-Pet,/artists/4163-taa-pet/
392,19488-okkyung-lee,Okkyung Lee,/artists/19488-okkyung-lee/
393,30066-amy-klein,Amy Klein,/artists/30066-amy-klein/
394,29384-william-tyler,William Tyler,/artists/29384-william-tyler/
395,1439-jad-fair,Jad Fair,/artists/1439-jad-fair/
396,2202-daniel-johnston,Daniel Johnston,/artists/2202-daniel-johnston/
397,27151-cave,Cave,/artists/27151-cave/
398,34068-hand-habits,Hand Habits,/artists/34068-hand-habits/
399,13377-michael-zapruder,Michael Zapruder,/artists/13377-michael-zapruder/
400,2417-lambchop,Lambchop,/artists/2417-lambchop/
401,5774-scarlett-johansson,Scarlett Johansson,/artists/5774-scarlett-johansson/
402,28263-pete-yorn,Pete Yorn,/artists/28263-pete-yorn/
403,32030-millie-andrea,Millie & Andrea,/artists/32030-millie-andrea/
404,4285-tricky,Tricky,/artists/4285-tricky/
405,4044-juelz-santana,Juelz Santana,/artists/4044-juelz-santana/
406,2806-momus,Momus,/artists/2806-momus/
407,4987-clark,Clark,/artists/4987-clark/
408,5099-nurse-soldier,Nurse & Soldier,/artists/5099-nurse-soldier/
409,9601-noah-and-the-whale,Noah and the Whale,/artists/9601-noah-and-the-whale/
410,2132-vijay-iyer,Vijay Iyer,/artists/2132-vijay-iyer/
411,2405-mike-ladd,Mike Ladd,/artists/2405-mike-ladd/
412,28493-moon-duo,Moon Duo,/artists/28493-moon-duo/
413,327-ben-folds-five,Ben Folds Five,/artists/327-ben-folds-five/
414,34474-sahbabii,SahBabii,/artists/34474-sahbabii/
415,28407-avi-buffalo,Avi Buffalo,/artists/28407-avi-buffalo/
416,1300-eels,Eels,/artists/1300-eels/
417,5796-lukestar,Lukestar,/artists/5796-lukestar/
418,heaven-in-her-arms,Heaven in Her Arms,/artists/heaven-in-her-arms/
419,3769-matthew-shipp,Matthew Shipp,/artists/3769-matthew-shipp/
420,34289-grid,GRID,/artists/34289-grid/
421,5139-love-of-diagrams,Love of Diagrams,/artists/5139-love-of-diagrams/
